coordinate_setting,model,species,random,spatial,optimism_gap_auc,morans_i
no_coords,Logistic_multi_interactions_no_coords,Cacophis kreftii,0.655241935483871,0.7165354330708661,-0.061293497586995094,0.33761787588770376
no_coords,Logistic_multi_interactions_no_coords,Calyptotis scutirostrum,0.8850446428571429,0.7397993311036789,0.145245311753464,0.16895780248663864
no_coords,Logistic_multi_interactions_no_coords,Coeranoscincus reticulatus,0.6703703703703704,0.6988636363636364,-0.02849326599326596,0.43098953281465713
no_coords,Logistic_multi_interactions_no_coords,Egernia mcpheei,0.7866666666666666,0.6133879781420765,0.17327868852459016,0.0764223465857309
no_coords,Logistic_multi_interactions_no_coords,Eulamprus murrayi,0.03937007874015748,,,0.29809622761657273
no_coords,Logistic_multi_interactions_no_coords,Ophioscincus truncatus,0.7469834087481146,0.8916387959866221,-0.14465538723850746,0.0742957670318799
no_coords,Logistic_multi_interactions_no_coords,Pseudechis porphyricaus,0.44266666666666665,0.7063492063492064,-0.26368253968253974,-0.0019018881896806972
no_coords,Logistic_multi_interactions_no_coords,Saltuarius swaini,0.5826771653543307,,,0.4983830130128601
no_coords,Logistic_multi_no_coords,Cacophis kreftii,0.6370967741935484,0.7559055118110236,-0.11880873761747524,0.07965001576706737
no_coords,Logistic_multi_no_coords,Calyptotis scutirostrum,0.8688616071428571,0.7732441471571906,0.09561745998566651,0.14093099477822263
no_coords,Logistic_multi_no_coords,Coeranoscincus reticulatus,0.475,0.45681818181818185,0.018181818181818132,0.4987746050527895
no_coords,Logistic_multi_no_coords,Egernia mcpheei,0.9333333333333333,0.6475409836065574,0.2857923497267759,-0.0032890867056754444
no_coords,Logistic_multi_no_coords,Eulamprus murrayi,0.36220472440944884,,,0.6676714904499629
no_coords,Logistic_multi_no_coords,Ophioscincus truncatus,0.7296380090497737,0.8702341137123746,-0.14059610466260086,0.16839979002340877
no_coords,Logistic_multi_no_coords,Pseudechis porphyricaus,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.01740516021648311
no_coords,Logistic_multi_no_coords,Saltuarius swaini,0.5511811023622047,,,0.6673110841969165
no_coords,Logistic_single_no_coords,Cacophis kreftii,0.6512096774193549,0.7244094488188977,-0.07319977139954281,0.2678514250353836
no_coords,Logistic_single_no_coords,Calyptotis scutirostrum,0.8844866071428571,0.7391304347826086,0.14535617236024845,0.16752742676247862
no_coords,Logistic_single_no_coords,Coeranoscincus reticulatus,0.6680555555555555,0.7139204545454545,-0.04586489898989898,0.43658985086020397
no_coords,Logistic_single_no_coords,Egernia mcpheei,0.8853333333333333,0.610655737704918,0.2746775956284153,0.07996031223578058
no_coords,Logistic_single_no_coords,Eulamprus murrayi,0.06299212598425197,,,0.6745108528004552
no_coords,Logistic_single_no_coords,Ophioscincus truncatus,0.755656108597285,0.8963210702341137,-0.14066496163682862,0.09985184745343599
no_coords,Logistic_single_no_coords,Pseudechis porphyricaus,0.44,0.7142857142857143,-0.2742857142857143,0.001725974619131492
no_coords,Logistic_single_no_coords,Saltuarius swaini,0.5275590551181102,,,0.6283216451280674
